timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635078653473,138,Log into Account,200,OK,Editor script 1-1,text,true,,161677,25934,7,7,http://192.168.1.87/blog/,7,0,2
1635078652192,21,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,182,2012,7,7,null,0,2157,0
1635078654349,21,Edit Post,200,OK,Editor script 1-6,,true,,182,2012,7,7,http://192.168.1.87/blog/api/posts/update/foo,21,0,0
1635078652653,137,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,156905,26118,7,7,null,0,2115,0
1635078654767,137,Open Post,200,OK,Editor script 1-7,text,true,,156905,26118,7,7,http://192.168.1.87/blog/post/ZQe6WzXFQl,10,0,0
1635078652608,134,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,153304,9719,7,7,null,0,2256,0
1635078654864,134,Open Home Page,200,OK,Editor script 1-4,text,true,,153304,9719,7,7,http://192.168.1.87/blog/,9,0,0
1635078652567,150,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,161860,25935,7,7,null,0,2479,0
1635078655046,150,Log into Account,200,OK,Editor script 1-2,text,true,,161860,25935,7,7,http://192.168.1.87/blog/,4,0,0
1635078653201,114,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,153703,10942,7,7,null,0,2307,0
1635078655508,114,Log out,200,OK,Editor script 1-5,text,true,,153703,10942,7,7,http://192.168.1.87/blog/,4,0,0
1635078653612,112,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,154898,24888,7,7,null,0,2016,0
1635078655627,112,Open Predefined Date,200,OK,Editor script 1-1,text,true,,154898,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,9,0,0
1635078653460,144,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,161775,25934,7,7,null,0,2290,0
1635078655750,144,Log into Account,200,OK,Editor script 1-3,text,true,,161775,25934,7,7,http://192.168.1.87/blog/,5,0,0
